None,"Small Island Big Song",None,None,"None",2022-06-11T15:09:46+00:00
None,"Cimarrón",None,None,"None",2022-06-11T15:04:36+00:00
Q193338,"Danny Elfman",1953-05-29T00:00:00Z,None,"Contemporary",2022-06-11T15:01:29+00:00
Q155124,"Michael Giacchino",1967-10-10,None,"Contemporary",2022-06-11T14:57:02+00:00
Q313362,"Alexandre Desplat",1961-08-23,None,"Contemporary",2022-06-11T14:52:06+00:00
Q313362,"Alexandre Desplat",1961-08-23,None,"Contemporary",2022-06-11T14:50:31+00:00
Q356994,"Jarvis Cocker",1963-09-19,None,"Contemporary",2022-06-11T14:49:10+00:00
Q313362,"Alexandre Desplat",1961-08-23,None,"Contemporary",2022-06-11T14:48:20+00:00
Q313362,"Alexandre Desplat",1961-08-23,None,"Contemporary",2022-06-11T14:47:20+00:00
Q313362,"Alexandre Desplat",1961-08-23,None,"Contemporary",2022-06-11T14:45:38+00:00
Q313362,"Alexandre Desplat",1961-08-23,None,"Contemporary",2022-06-11T14:41:53+00:00
Q313362,"Alexandre Desplat",1961-08-23,None,"Contemporary",2022-06-11T14:39:55+00:00
Q193338,"Danny Elfman",1953-05-29,None,"Contemporary",2022-06-11T14:35:10+00:00
Q193338,"Danny Elfman",1953-05-29,None,"Contemporary",2022-06-11T14:32:59+00:00
Q374754,"Carter Burwell",1954-11-18,None,"Contemporary",2022-06-11T14:31:12+00:00
Q314623,"Harry Gregson-Williams",1961-12-13T00:00:00Z,None,"Contemporary",2022-06-11T14:27:45+00:00
Q313540,"John Powell",1963-09-18,None,"Contemporary",2022-06-11T14:24:24+00:00
Q1354267,"Julian Nott",1960-08-23T00:00:00Z,None,"Contemporary",2022-06-11T14:23:14+00:00
Q1354267,"Julian Nott",1960-08-23T00:00:00Z,None,"Contemporary",2022-06-11T14:22:01+00:00
Q2616291,"Václav Trojan",1907-04-24,1983-07-05,"Modernism",2022-06-11T14:17:47+00:00
Q296804,"Bernard Herrmann",1911-06-29,1975-12-24,"Modernism",2022-06-11T14:07:35+00:00
Q337941,"Laurie Johnson",1927-02-07T00:00:00Z,None,"Modernism",2022-06-11T14:06:12+00:00
Q111074,"John Barry",1933-11-03,2011-01-30,"Contemporary",2022-06-11T14:03:22+00:00
Q131285,"John Williams",1932-02-08,None,"Modernism",2022-06-11T14:00:55+00:00
Q49505110,"James Brown",1863-01-01T00:00:00Z,1943-01-01T00:00:00Z,"Modernism",2022-06-11T13:56:32+00:00
Q155712,"André Previn",1929-04-06,2019-02-28,"Contemporary",2022-06-11T13:51:09+00:00
Q155712,"André Previn",1929-04-06,2019-02-28,"Contemporary",2022-06-11T13:47:26+00:00
Q155712,"André Previn",1929-04-06,2019-02-28,"Contemporary",2022-06-11T13:45:17+00:00
Q96142028,"Misha Mullov-Abbado",1990-01-01,None,"Contemporary",2022-06-11T13:36:25+00:00
Q254,"Wolfgang Amadeus Mozart",1756-01-27,1791-12-05,"Classical",2022-06-11T13:24:13+00:00
Q17305946,"Gabriel Jackson",1962-01-01,None,"Contemporary",2022-06-11T13:17:42+00:00
Q153300,"Paco de Lucía",1947-12-21,2014-02-25,"Contemporary",2022-06-11T13:10:12+00:00
Q1339,"Johann Sebastian Bach",1685-03-31,1750-07-28,"Baroque",2022-06-11T13:05:41+00:00
Q151084,"Joaquín Rodrigo",1901-11-22,1999-07-06,"Modernism",2022-06-11T12:53:26+00:00
Q83326,"Béla Bartók",1881-03-25,1945-09-26,"Modernism",2022-06-11T12:46:45+00:00
Q364983,"Henri Duparc",1848-01-21,1933-02-12,"Romantic",2022-06-11T12:42:42+00:00
Q207773,"Howard Shore",1946-10-18,None,"Modernism",2022-06-11T12:38:38+00:00
Q1339,"Johann Sebastian Bach",1685-03-31,1750-07-28,"Baroque",2022-06-11T12:32:21+00:00
Q157777,"Jan Dismas Zelenka",1679-10-16,1745-12-23,"Baroque",2022-06-11T12:24:23+00:00
Q312698,"Frederick Delius",1862-01-29,1934-06-10,"Romantic",2022-06-11T12:15:35+00:00
