Josquin des Prez,1450-01-01T00:00:00Z,1521-09-06T00:00:00Z,None,El Grillo ,Tue Mar 29 09:42:51 +0000 2022
Ernest Bucalossi,1859-01-01T00:00:00Z,1933-04-15T00:00:00Z,None,Grasshoppers\' Dance ,Tue Mar 29 09:40:07 +0000 2022
Benjamin Britten,1913-11-22T00:00:00Z,1976-12-04T00:00:00Z,None,Insect Pieces: Grassh... ,Tue Mar 29 09:36:23 +0000 2022
Georg Philipp Telemann,1681-03-24T00:00:00Z,1767-06-25T00:00:00Z,Baroque music,Concerto in G major T... ,Tue Mar 29 09:33:10 +0000 2022
Jean Sibelius,1865-12-08T00:00:00Z,1957-09-20T00:00:00Z,None,Violin Concerto in D ... ,Tue Mar 29 09:22:19 +0000 2022
Giovanni Gabrieli,1557-01-01T00:00:00Z,1612-08-12T00:00:00Z,Baroque music,Exultavit cor meum in... ,Tue Mar 29 09:17:07 +0000 2022
William Harris,None,None,None,Faire is the Heaven ,Tue Mar 29 09:11:50 +0000 2022
Franz Schubert,1797-01-31T00:00:00Z,1828-11-19T00:00:00Z,None,Allegretto in C minor,Tue Mar 29 09:06:01 +0000 2022
Hugo Alfvén,1872-05-01T00:00:00Z,1960-05-08T00:00:00Z,None,Uppsala Rhapsody ,Tue Mar 29 08:54:16 +0000 2022
Robert Nathaniel Dett,1882-10-11T00:00:00Z,1943-10-02T00:00:00Z,None,Enchantment (Beyond The Dream) ,Tue Mar 29 08:47:45 +0000 2022
Antonio Vivaldi,1678-03-04T00:00:00Z,1741-07-28T00:00:00Z,Baroque music,Viola d\'amore Concerto in A ma... ,Tue Mar 29 08:38:22 +0000 2022
Christian Forshaw,None,None,None,Christian Forshaw: In... ,Tue Mar 29 08:32:47 +0000 2022
Claude Debussy,1862-08-22T00:00:00Z,1918-03-25T00:00:00Z,impressionism in music,Reve (Orchestral Suit... ,Tue Mar 29 08:24:12 +0000 2022
Charles-Valentin Alkan,1813-11-30T00:00:00Z,1888-03-29T00:00:00Z,Romantic music,Le Grillon,Tue Mar 29 08:16:17 +0000 2022
Mélanie Bonis,1858-01-21T00:00:00Z,1937-03-18T00:00:00Z,western classical music,Ophélie Op.165 ,Tue Mar 29 08:05:58 +0000 2022
Clara Schumann,None,None,None,Romance in E flat minor,Tue Mar 29 07:57:12 +0000 2022
Wolfgang Amadeus Mozart,1756-01-27T00:00:00Z,1791-12-05T00:00:00Z,Classical period,Das Lied der Trennung... ,Tue Mar 29 07:50:12 +0000 2022
